,sid,actions,action_times,game_time,n_actions,game_time_to_first_action,game_type,env_type,distr_type,centering_type,game_idx,gave_up,is_tutorial
15,b8ve3wax34,"[1, 1, 3, 3, 4, 4, 3, 4, 3, 4, 3, 4, -1]","[0.776, 0.905, 1.478, 1.66, 2.102, 2.29, 2.562, 3.529, 3.72, 4.012, 4.231, 4.399, 7.448]",7.448,13,0.776,Tutorial2,Tutorial2,0,tutorial,tutorial1,0,True
16,foho4tmdle,"[4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 3, 2, 4, 4, 4, 3, 1, 2, 2, 2, 2, 2, 3, 3, 1, 4, 4, 4, 4, 4, 1, 1, 1, 4, 3, 2, 2, 2, 2, 2, 2, 2, -1]","[13.428, 13.747, 13.991, 14.275, 15.028, 17.013, 17.529, 18.172, 19.384, 25.186, 25.664, 26.447, 29.958, 30.613, 31.078, 36.126, 37.43, 40.524, 41.267, 41.557, 42.296, 42.812, 43.59, 46.022, 47.178, 47.945, 49.932, 50.277, 50.937, 51.698, 52.463, 52.897, 53.472, 54.128, 55.227, 56.531, 56.841, 57.672, 58.205, 60.135, 60.605, 62.383, 71.691]",71.691,43,13.428,Tutorial6,Tutorial6,0,tutorial,tutorial5,0,True
17,qzb39nnuo6,"[1, 1, 4, 4, 4, 4, 4, 4, 4, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, -1]","[137.519, 137.725, 138.309, 139.176, 139.423, 139.648, 139.817, 139.984, 140.175, 140.671, 141.312, 141.595, 142.134, 144.284, 145.543, 146.5, 146.714, 146.882, 147.085, 147.276, 151.908]",151.908,21,137.519,Tutorial4,Tutorial4,0,tutorial,tutorial3,0,True
18,e8cc3nw3fu,"[1, 4, 4, 3, 3, -1, 3, 4, 4, 3, 3, 3, 3, 1, 1, 1, 1, 2, 4, -1, 1, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, -1]","[13.169, 13.724, 14.182, 14.991, 15.835, 18.44, 20.356, 20.984, 21.322, 21.961, 22.203, 22.708, 23.106, 24.206, 24.57, 24.953, 25.537, 25.96, 26.44, 27.758, 29.886, 30.997, 31.198, 32.321, 32.477, 35.151, 37.055, 37.64, 37.893, 38.098, 38.291, 41.426]",41.426,32,13.169,Tutorial7,Tutorial7,0,tutorial,tutorial6,0,True
19,b8ve3wax34,"[2, 4, 4, 3, 3, 3, 2, 4, 4, 1, 1, 3, 4, 4, 3, 3, -1, 4, 3, 3, 4, 3, 4, 4, 4, 3, 2, 1, 2, 2, 2, 2, 2, 3, 4, 1, 1, 4, 4, 4, 4, -1]","[3.084, 3.59, 3.796, 4.156, 4.311, 9.917, 10.313, 11.152, 11.313, 11.53, 11.675, 12.416, 12.712, 12.874, 13.789, 14.134, 18.971, 27.481, 27.874, 28.11, 28.477, 28.684, 28.985, 29.138, 29.324, 29.72, 30.057, 30.694, 30.977, 31.156, 31.318, 31.491, 31.837, 32.544, 32.802, 33.213, 33.68, 33.914, 34.101, 34.267, 34.438, 37.287]",37.287,42,3.084,Tutorial3,Tutorial3,0,tutorial,tutorial2,0,True
20,b8ve3wax34,"[4, 4, 4, 4, 1, 1, 1, 4, 3, 1, 1, 1, 2, 2, 2, 2, 2, -1]","[1.9, 3.412, 3.596, 3.78, 4.211, 4.385, 4.732, 6.537, 7.393, 8.397, 8.607, 8.747, 9.689, 9.846, 10.345, 10.491, 10.661, 13.503]",13.503,18,1.9,Tutorial4,Tutorial4,0,tutorial,tutorial3,0,True
21,e8cc3nw3fu,"[4, 4, 4, 1, 1, -1, 4, 1, 4, 4, 4, 4, 4, 2, 3, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, -1]","[16.976, 18.079, 18.343, 18.692, 18.939, 21.461, 22.328, 22.683, 23.058, 23.267, 23.443, 23.597, 23.813, 24.556, 24.918, 25.202, 25.593, 26.016, 26.238, 26.579, 26.928, 27.178, 27.398, 27.776, 28.187, 30.696]",30.696,26,16.976,Tutorial8,Tutorial8,0,tutorial,tutorial7,0,True
22,qzb39nnuo6,"[3, 1, 1, 3, 3, 1, 4, 4, 3, 1, 1, 4, 4, 4, 4, 4, 2, 3, 4, 3, 2, 1, 1, 2, 2, 2, 3, 1, 2, -1]","[15.612, 16.191, 16.494, 17.011, 18.655, 19.78, 20.207, 20.444, 21.478, 22.221, 22.525, 23.178, 23.751, 23.998, 24.233, 24.582, 26.282, 27.126, 27.655, 27.981, 28.341, 29.036, 30.456, 31.142, 31.424, 31.66, 32.492, 33.416, 33.944, 38.814]",38.814,30,15.612,Tutorial5,Tutorial5,0,tutorial,tutorial4,0,True
23,b8ve3wax34,"[4, 4, 4, 4, 4, 4, 3, 4, 3, 2, 1, 1, 2, 2, 2, 2, 2, 3, 2, 3, 4, 4, 1, 1, -1]","[6.293, 6.458, 7.261, 7.427, 7.634, 7.992, 8.283, 8.615, 8.825, 9.029, 9.41, 9.639, 9.901, 10.092, 10.256, 10.436, 10.666, 11.085, 11.552, 11.89, 15.509, 16.193, 17.18, 18.487, 20.624]",20.624,25,6.293,Tutorial5,Tutorial5,0,tutorial,tutorial4,0,True
24,foho4tmdle,"[2, 1, 4, 4, 3, 3, 2, 3, 3, 3, 3, 4, -1]","[15.587, 17.077, 17.536, 17.926, 19.015, 19.536, 22.757, 33.374, 33.924, 34.368, 34.874, 35.454, 64.697]",64.697,13,15.587,Tutorial7,Tutorial7,0,tutorial,tutorial6,0,True
25,e8cc3nw3fu,"[4, 4, 3, 4, 4, 4, 3, 4, 1, 2, 2, 2, 2, 2, 1, 4, 4, 4, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, -1]","[15.141, 15.37, 15.923, 16.333, 16.556, 17.172, 17.59, 18.097, 19.997, 21.055, 21.278, 21.42, 21.608, 21.917, 23.06, 23.429, 23.648, 23.834, 24.029, 25.456, 26.167, 26.384, 26.549, 26.731, 27.439, 27.634, 27.813, 27.97, 30.682]",30.682,29,15.141,Tutorial9,Tutorial9,0,tutorial,tutorial8,0,True
26,qzb39nnuo6,"[3, 4, 4, 4, 4, 1, 1, 1, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, -1]","[26.845, 27.502, 28.074, 28.403, 28.673, 29.449, 29.719, 29.964, 30.371, 30.799, 31.056, 32.25, 33.712, 34.003, 34.23, 34.455, 34.657, 34.871, 38.464]",38.464,19,26.845,Tutorial6,Tutorial6,0,tutorial,tutorial5,0,True
27,e8cc3nw3fu,"[3, 3, 3, 3, 3, 4, 4, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, -1]","[12.995, 13.139, 13.322, 13.492, 13.669, 14.311, 14.639, 16.405, 16.572, 16.731, 16.872, 17.038, 18.039, 18.451, 18.938, 19.706, 19.963, 23.072]",23.072,18,12.995,Tutorial10,Tutorial10,0,tutorial,tutorial9,0,True
28,b8ve3wax34,"[1, 4, 4, 1, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 1, 4, 4, 4, -1, -1, -1, 1, 4, 1, 1, 3, 3, 3, 3, 4, 1, 1, 2, 1, 4, 4, 4, 3, 3, 1, 1, 1, 1, 3, 3, 3, 4, 3, 4, 3, 2, 3, 2, 2, 1, 1, 1, 4, 4, 3, 2, 3, 1, 4, 3, 2, 3, 4, 1, 1, 1, 4, 3, 2, 2, 2, 2, 2, 2, 2, -1]","[8.699, 9.23, 10.406, 11.124, 11.897, 12.355, 15.037, 15.266, 16.184, 16.629, 16.952, 18.224, 18.332, 18.685, 18.994, 19.303, 20.692, 21.022, 21.263, 21.536, 21.835, 22.57, 23.756, 23.943, 24.155, 29.658, 30.794, 32.022, 42.008, 42.733, 42.902, 43.095, 44.096, 44.232, 45.127, 45.322, 45.678, 45.983, 46.437, 46.809, 47.269, 47.88, 48.175, 48.36, 49.249, 49.441, 50.434, 50.719, 50.955, 51.114, 52.02, 52.17, 52.323, 52.601, 52.801, 53.202, 53.357, 53.836, 54.199, 54.53, 55.542, 60.566, 60.751, 60.903, 61.128, 61.314, 61.59, 61.892, 62.179, 62.634, 62.858, 63.103, 63.339, 63.608, 63.885, 64.202, 64.383, 64.532, 64.742, 64.944, 65.319, 65.493, 65.644, 65.779, 65.9, 66.046, 66.441, 69.35]",69.35,88,8.699,Tutorial6,Tutorial6,0,tutorial,tutorial5,0,True
29,foho4tmdle,"[4, 4, 4, 4, 3, 4, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, -1]","[29.98, 36.877, 38.129, 38.868, 39.874, 40.466, 41.457, 42.286, 48.711, 49.508, 51.718, 52.598, 53.362, 54.024, 55.592, 56.608, 62.916]",62.916,17,29.98,Tutorial8,Tutorial8,0,tutorial,tutorial7,0,True
30,b8ve3wax34,"[3, 2, 3, 3, 3, 3, 3, 1, 4, 1, 1, 3, 1, 4, 1, 1, 1, 3, 1, -1, 4, 3, 3, 3, 3, 3, 1, 1, -1, 4, 1, 4, 3, 3, 3, 3, 3, 3, -1]","[3.726, 3.991, 6.316, 6.5, 7.006, 7.304, 7.869, 8.773, 9.045, 9.403, 10.505, 11.844, 12.17, 12.917, 13.367, 13.762, 13.94, 14.405, 14.653, 16.895, 17.621, 18.199, 18.623, 18.933, 19.31, 19.533, 19.786, 20.251, 22.039, 22.645, 23.055, 23.316, 23.626, 23.787, 23.965, 25.538, 26.385, 26.803, 28.136]",28.136,39,3.726,Tutorial7,Tutorial7,0,tutorial,tutorial6,0,True
31,qzb39nnuo6,"[2, 3, 1, 1, 3, 3, 1, 1, 4, 4, 3, 3, 3, 3, 3, 3, -1]","[16.19, 17.993, 18.972, 19.366, 31.231, 31.517, 47.815, 48.054, 48.799, 49.122, 50.564, 50.947, 58.669, 59.045, 59.407, 59.859, 67.905]",67.905,17,16.19,Tutorial7,Tutorial7,0,tutorial,tutorial6,0,True
32,b8ve3wax34,"[4, 4, 4, 1, 4, 4, 4, 3, 1, 1, 1, 2, 2, 1, 2, 2, 3, 2, 2, 2, -1]","[3.594, 6.969, 7.227, 9.436, 10.822, 11.015, 11.242, 11.569, 12.191, 12.939, 13.378, 14.234, 14.534, 15.222, 15.798, 16.969, 17.252, 17.475, 17.646, 17.839, 19.227]",19.227,21,3.594,Tutorial8,Tutorial8,0,tutorial,tutorial7,0,True
33,b8ve3wax34,"[1, 3, 3, 4, 3, 4, 4, 4, 4, 1, 2, 2, 2, 2, 1, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, -1]","[4.887, 5.531, 6.061, 6.678, 6.936, 7.324, 7.479, 7.753, 7.908, 8.198, 8.563, 8.774, 8.958, 9.823, 10.122, 10.458, 10.633, 10.822, 11.695, 11.917, 12.132, 13.277, 13.606, 13.815, 14.244, 15.835]",15.835,26,4.887,Tutorial9,Tutorial9,0,tutorial,tutorial8,0,True
34,b8ve3wax34,"[3, 3, 3, 3, 3, 4, 4, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, -1]","[2.214, 2.513, 2.656, 3.048, 3.753, 4.046, 4.253, 5.949, 6.432, 6.698, 6.899, 7.101, 7.442, 7.762, 8.059, 8.63, 9.025, 11.67]",11.67,18,2.214,Tutorial10,Tutorial10,0,tutorial,tutorial9,0,True
35,qzb39nnuo6,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 4, -1, 4, 4, 4, 4, 3, 4, 1, 2, 1, 1, 1, 2, 2, 2, 2, -1]","[22.298, 22.763, 23.328, 23.721, 24.003, 25.014, 25.341, 25.623, 25.881, 26.105, 26.714, 28.988, 47.141, 47.393, 47.652, 47.933, 48.663, 49.348, 49.911, 50.712, 51.837, 52.117, 54.824, 55.525, 56.742, 57.0, 57.226, 61.619]",61.619,28,22.298,Tutorial8,Tutorial8,0,tutorial,tutorial7,0,True
36,qzb39nnuo6,"[3, 3, 3, 4, 4, 4, 4, 4, 1, 2, 2, 2, 2, 1, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, -1]","[17.102, 17.322, 17.533, 18.175, 18.436, 18.683, 18.975, 19.257, 19.898, 20.957, 21.226, 21.45, 21.855, 22.474, 23.791, 25.894, 31.051, 44.262, 44.931, 45.156, 45.392, 46.065, 46.303, 46.528, 51.208]",51.208,25,17.102,Tutorial9,Tutorial9,0,tutorial,tutorial8,0,True
37,e8cc3nw3fu,"[3, 3, 3, 4, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 1, 1, 4, 1, 2, 2, 2, 4, 4, 4, 4, 3, 3]","[5.178, 5.431, 7.475, 9.831, 11.04, 11.26, 11.697, 12.144, 12.839, 13.276, 13.687, 14.03, 14.951, 17.12, 18.041, 18.565, 19.803, 20.01, 21.718, 22.438, 23.605, 24.267, 24.698, 25.794, 26.176, 26.556, 26.938, 28.034, 28.254, 28.445, 30.101, 30.337, 30.614, 30.844, 31.162, 31.484]",31.547,36,5.178,Env6D0,Env6,0,replace,0,0,False
38,b8ve3wax34,"[4, 4, 4, 4, 3, 3, 3, 4, 3]","[3.222, 3.458, 3.559, 3.765, 3.848, 4.367, 4.562, 4.846, 5.024]",5.056,9,3.222,Env1D0,Env1,0,none,0,0,False
